Ip Address,Frequency
72.90.252.71,1
24.64.127.181,3
143.148.154.37,1
81.141.91.158,2
75.133.77.10,1
80.126.146.97,1
24.64.215.42,3
82.166.74.9,1
66.163.168.130,1
85.240.194.127,1
24.64.63.127,3
151.59.69.23,1
213.140.22.65,1
75.162.41.23,1
24.64.200.234,3
211.243.145.218,1
24.64.178.152,3
64.29.83.51,1
121.122.37.144,1
83.213.139.152,1
99.252.235.248,1
200.71.237.131,1
82.18.168.66,1
61.190.136.154,1
67.216.129.5,1
156.101.119.76,1
75.92.116.70,1
200.121.147.196,1
24.64.210.238,3
24.64.214.116,3
24.64.221.193,2
189.78.251.116,1
12.168.212.242,1
42.128.84.194,1
72.38.55.146,5
221.209.110.50,1
84.32.113.155,1
91.144.133.147,1
82.38.230.183,1
84.29.182.181,1
190.26.104.67,1
89.1.151.53,1
201.230.149.37,1
83.46.128.235,1
24.64.101.157,3
89.165.186.160,1
66.94.237.49,1
38.100.169.140,1
200.211.146.141,1
217.127.143.157,1
86.104.182.57,1
201.9.182.50,1
56.14.15.106,1
128.29.163.66,1
190.49.8.81,1
200.83.228.206,1
65.109.80.141,1
207.45.176.98,1
124.120.245.234,1
91.122.161.205,1
201.221.161.111,1
202.97.238.204,2
189.41.209.65,1
24.64.194.53,3
89.49.78.88,5
71.165.154.76,1
24.64.138.168,3
88.245.114.47,1
194.187.205.215,1
100.24.18.221,1
81.15.250.134,1
87.6.209.207,1
190.1.212.107,1
189.31.152.178,1
90.154.216.253,1
66.221.238.191,1
208.205.46.7,1
190.79.148.78,1
85.102.58.70,1
24.64.57.144,3
82.213.165.82,1
83.9.227.205,1
83.186.189.108,1
185.18.108.111,1
87.24.131.142,1
82.204.148.81,1
14.102.96.177,1
90.248.113.55,1
206.108.5.1,4
91.90.200.34,1
88.252.225.76,1
79.186.237.6,1
69.61.32.44,1
89.132.115.151,1
194.3.54.170,1
89.109.197.165,1
71.125.192.112,1
147.227.192.74,1
82.16.35.212,1
24.64.182.127,3
71.187.148.64,1
85.141.189.174,1
41.251.69.208,1
200.67.106.244,1
83.6.235.155,1
201.240.194.87,1
200.114.44.99,2
184.163.93.130,1
78.149.74.29,1
81.213.160.51,1
209.200.245.189,1
201.58.129.234,1
217.194.196.3,1
87.203.158.207,1
73.230.55.114,1
79.12.103.171,1
201.228.201.247,1
79.185.83.220,5
192.168.17.8,5
142.237.31.2,1
213.184.7.177,1
24.64.51.229,3
88.235.111.202,1
79.101.145.41,1
24.64.221.105,3
200.114.26.59,1
201.83.240.174,1
189.10.217.170,1
218.64.237.219,1
24.64.190.155,3
151.74.159.125,1
24.64.97.192,3
201.240.55.56,1
81.208.83.217,4
59.177.100.24,1
209.200.255.50,1
201.233.146.241,1
81.101.158.8,1
142.217.215.62,1
24.64.214.175,3
201.211.103.168,3
81.248.11.209,1
65.54.246.108,1
198.41.70.2,1
212.114.49.92,1
220.195.35.40,71
24.64.171.156,3
89.136.24.41,6
83.46.21.161,1
24.64.3.245,3
44.85.108.182,1
183.70.138.250,1
78.170.159.229,1
24.64.227.37,3
96.240.44.58,1
202.97.238.195,2
217.88.190.115,1
70.47.93.141,1
24.64.197.34,3
83.153.123.1,1
88.18.225.72,1
83.132.66.239,1
202.97.238.194,1
91.44.239.140,1
199.125.184.60,1
194.170.173.115,1
222.236.206.129,1
24.64.87.90,3
201.16.26.49,1
17.69.200.200,1
84.1.209.247,1
142.190.110.84,1
95.13.70.16,1
202.97.238.203,1
78.176.121.157,1
125.244.236.194,1
61.143.147.228,1
191.148.180.234,1
24.64.27.239,3
189.33.131.126,1
152.3.166.238,1
201.240.65.139,5
140.252.214.104,1
152.213.44.14,1
129.41.77.72,1
190.40.253.236,1
24.64.53.134,3
96.237.120.85,1
71.170.107.10,1
76.2.106.62,1
85.13.47.83,1
193.227.243.149,1
201.255.162.140,1
87.18.17.1,1
91.122.181.41,4
86.164.44.60,1
209.59.162.147,1
82.229.96.42,2
200.67.233.86,1
71.199.156.108,1
24.64.82.137,3
190.40.195.55,1
200.121.135.138,1
81.103.99.208,1
181.98.186.228,1
88.18.60.167,1
198.237.173.99,1
206.191.34.134,1
24.64.154.177,3
88.11.12.0,1
87.240.6.187,1
190.49.127.73,1
78.140.214.129,1
84.94.113.174,2
195.56.159.1,1
203.210.200.93,1
88.245.69.228,1
190.24.46.236,1
24.64.247.139,3
218.10.137.140,4
24.64.186.200,3
24.64.40.79,1
200.89.242.221,1
201.110.75.7,1
66.163.168.190,1
86.141.18.31,1
24.64.126.103,3
64.124.204.39,1
83.27.228.6,2
211.213.60.6,2
48.234.96.8,1
24.64.55.161,3
210.235.119.135,1
86.127.73.61,1
24.64.193.24,3
22.147.86.13,1
86.107.89.250,1
200.118.113.246,1
18.7.25.118,1
201.110.201.161,1
194.117.241.30,1
201.240.66.113,1
204.15.20.132,1
64.213.55.225,2
198.43.162.18,1
118.125.3.109,1
62.121.69.77,1
178.248.112.92,1
82.116.114.146,1
190.188.224.47,1
80.58.231.110,1
80.143.37.180,2
200.122.253.135,1
82.13.92.15,1
201.254.187.87,1
189.12.221.96,1
190.128.53.246,1
201.233.50.149,1
83.15.28.106,1
85.102.90.29,1
170.224.180.54,1
190.136.0.224,1
24.235.159.168,1
200.97.116.6,1
